0,1,2,3,regret,loss
SPO,0,0.001,l1d1,"50,079.03","5,700.17"
SPO,1,0.001,l1d1,"45,897.26","5,007.42"
SPO,2,0.001,l1d1,"46,983.40","5,779.16"
SPO,3,0.001,l1d1,"51,472.72","4,567.57"
SPO,4,0.001,l1d1,"50,334.46","5,063.98"
SPO,5,0.001,l1d1,"45,924.53","5,283.67"
SPO,6,0.001,l1d1,"44,934.67","5,625.79"
SPO,7,0.001,l1d1,"38,994.29","4,019.75"
SPO,8,0.001,l1d1,"51,423.69","4,902.76"
SPO,9,0.001,l1d1,"48,723.10","4,396.53"
SPO+,0,0.001,l1d1,"42,861.14","21,005,567,262,720.00"
SPO+,1,0.001,l1d1,"436,862.03","56,938,347,888,640.00"
SPO+,2,0.001,l1d1,"97,591.69","84,338,838,339,584.00"
SPO+,3,0.001,l1d1,"38,737.93","16,278,366,453,760.00"
SPO+,4,0.001,l1d1,"47,018.14","17,198,974,238,720.00"
SPO+,5,0.001,l1d1,"40,520.40","53,000,198,422,528.00"
SPO+,6,0.001,l1d1,"39,567.71","90,532,910,989,312.00"
SPO+,7,0.001,l1d1,"49,118.35","56,087,613,014,016.00"
SPO+,8,0.001,l1d1,"38,084.32","14,619,819,114,496.00"
SPO+,9,0.001,l1d1,"47,334.39","49,441,327,284,224.00"
