Model,epoch,lr,schedule,train_regret,train_loss,test_regret,test_loss
Curriculum:linreg(10),10,0.001,l1d1,32906.264568355415,806.2396240234375,45533.036559388565,702.603759765625
Curriculum:SPO+,0,0.001,l1d1,33343.7417121544,16804569153536.0,45223.712164416436,15896924913664.0
Curriculum:SPO+,1,0.001,l1d1,35475.87220968381,96357851332608.0,43961.54116395676,100558161575936.0
Curriculum:SPO+,2,0.001,l1d1,38152.282216106134,33651360268288.0,43619.87761089957,35417848020992.0
Curriculum:SPO+,3,0.001,l1d1,35458.83388153872,63983918776320.0,38043.895920739036,57534362681344.0
Curriculum:SPO+,4,0.001,l1d1,58078.405838056504,19814579961856.0,69655.28991764269,19712043909120.0
Curriculum:SPO+,5,0.001,l1d1,372263.58813791664,45012381335552.0,404193.39651523187,59767590486016.0
Curriculum:SPO+,6,0.001,l1d1,36598.041424159215,24148529119232.0,46894.982668069075,26604547866624.0
Curriculum:SPO+,7,0.001,l1d1,39598.79770991174,29731548299264.0,46632.65600475974,33295700066304.0
Curriculum:SPO+,8,0.001,l1d1,43452.37906925375,82431763808256.0,57872.898756543,84146026184704.0
Curriculum:SPO+,9,0.001,l1d1,41008.71344164332,856367288025088.0,50931.121816987536,830350724956160.0
Curriculum:SPO,0,0.001,l1d1,41002.17963041023,856288233783296.0,50917.44596232785,830263886086144.0
Curriculum:SPO,1,0.001,l1d1,41005.92181829295,856209179541504.0,50910.13898161799,830177047216128.0
Curriculum:SPO,2,0.001,l1d1,41012.069818983924,856130058190848.0,50935.73450635811,830090208346112.0
Curriculum:SPO,3,0.001,l1d1,40990.377066243826,856051003949056.0,50941.27177069428,830003369476096.0
Curriculum:SPO,4,0.001,l1d1,40994.4139857754,855972016816128.0,50921.47259429214,829916597714944.0
Curriculum:SPO,5,0.001,l1d1,40998.98681944608,855892962574336.0,50934.90525604442,829829758844928.0
Curriculum:SPO,6,0.001,l1d1,41002.86502327493,855813908332544.0,50913.78326538003,829742987083776.0
Curriculum:SPO,7,0.001,l1d1,40982.8325277831,855734854090752.0,50934.904943742906,829656215322624.0
Curriculum:SPO,8,0.001,l1d1,41001.00897022723,855655799848960.0,50921.37453477336,829569376452608.0
Curriculum:SPO,9,0.001,l1d1,41004.93805912206,855576745607168.0,50921.37415356076,829482604691456.0
