subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total_time,validation_relax
1,114893.5103,4069.2639677411,107490369536,273321.40835,5392.10741429988,178259918848,2.32809519767761,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
51,114277.856226419,4065.88433734128,88344633344,271791.37515,5371.1509855438,136741847040,6.53915882110596,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
101,117347.8088,4060.03456490315,73856262144,274331.903,5364.93477194066,122034733056,11.3533103466034,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
151,120535.964225,4055.04325583142,55927670784,255688.2597,5367.58795993812,124526714880,16.6100280284882,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
201,118067.76245,4049.94694942954,47798939648,248408.8379,5367.80596725837,118398083072,21.9474468231201,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
251,107777.4398,4045.17290583249,34169459712,243170.4119,5364.74026253669,109906919424,27.4736385345459,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
301,98515.826775,4040.28118583402,14512452096,237752.35135,5356.5648600838,90991689728,32.6942856311798,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
351,97371.340775,4034.95691406435,-1611646864,216565.4213,5340.74292296091,55758127104,38.0786030292511,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
401,62838.2382749999,4034.33041436649,-21486353408,133157.42045,5316.64084830324,-57642766336,43.3459622859955,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
451,41616.7859,4030.88625388359,-54793871360,65324.11825,5298.56057586456,-192199933952,49.3957386016846,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
501,29487.69485,4022.50314024394,-134090911744,36434.9872,5299.81691291935,-248879595520,55.167530298233,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
551,27373.2499,4013.67142244472,-219215405056,27380.18155,5297.23282734206,-308588249088,61.2536780834198,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
553,27373.2499,4013.27000990204,-223550775296,26449.4861000001,5296.97096579384,-311409999872,64.8496382236481,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
603,27693.2115749999,4010.4474467033,-288925589504,27380.18155,5278.2255816108,-511571165184,71.3427977561951,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
653,26900.9013749999,4006.13894282003,-342602596352,27370.3413000001,5272.97224728837,-566539124736,77.7696049213409,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
703,26867.7091499999,4001.99164922525,-397280641024,25772.4714,5277.43012137419,-558254260224,83.7088172435761,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
753,23989.0535,3997.31248389727,-427945099264,23079.2272000001,5277.88913590919,-543707824128,90.0118980407715,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
803,23587.430725,3992.81032173122,-457242198016,22656.8464,5274.45097762959,-569503121408,96.1215572357178,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
853,23587.430725,3988.34003861536,-505892339712,22656.8464,5266.45095045332,-636691873792,102.047014951706,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
903,22723.056175,3982.23424172064,-585762308096,22393.0889,5249.68492940931,-810289397760,108.178738117218,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
953,19962.77625,3981.14249703063,-637871751168,21004.2385,5226.94021128289,-1037697679360,114.952634096146,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1003,19962.77625,3977.78317789763,-684200329216,20480.04545,5211.60850522389,-1179484815360,121.160525798798,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1053,20804.65175,3970.38425853265,-827698642944,20852.7286,5213.39063671645,-1221500600320,127.127719640732,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1103,19962.77625,3962.27531319336,-890678050816,21773.31965,5210.97498569311,-1286765674496,133.410583257675,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1105,19962.77625,3961.88062679093,-893055827968,21773.31965,5210.71549787104,-1287521697792,137.594669818878,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1155,19962.77625,3959.11905986637,-942960541696,22652.9678,5192.28598053557,-1415065632768,144.776204586029,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1205,22506.5185,3955.19772807539,-1006340669440,23042.6583500001,5187.40881759038,-1489204805632,151.55564904213,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1255,19962.77625,3951.33271254507,-1045280718848,22656.8464,5191.90695008319,-1478890487808,158.277873516083,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1305,19962.77625,3946.85738523233,-1072393322496,21773.31965,5192.39554873176,-1509993218048,164.767463922501,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1355,19962.77625,3942.38849830935,-1113724092416,21348.4889,5188.99312992879,-1524405895168,171.515195846558,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1405,19962.77625,3937.88347279418,-1190356451328,20852.7286,5181.09714102518,-1584215752704,177.987951755524,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1455,19962.77625,3931.59920271086,-1257454108672,20852.7286,5164.36983261213,-1775828467712,184.361628770828,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1505,19962.77625,3930.39003719204,-1323279122432,20155.1142,5142.69816910049,-1978803290112,191.562042474747,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1555,19801.03155,3927.13064308562,-1359183609856,19975.21305,5128.19023549457,-2123097047040,198.495203495026,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1605,18672.935975,3919.9678473224,-1396882145280,20155.1142,5130.16038024583,-2127801352192,205.42868065834,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1655,18608.237975,3912.15453809411,-1439831752704,20155.1142,5127.85670528716,-2166997123072,211.822040081024,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1657,18608.237975,3911.76501933357,-1442825633792,20155.1142,5127.59874498122,-2168497897472,215.893880367279,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1707,18608.237975,3909.04554455368,-1498127663104,20480.04545,5109.23093558564,-2339278159872,222.970315933228,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1757,18670.445125,3905.31517714862,-1586466586624,22652.9678,5104.56611054966,-2383695839232,229.847296476364,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1807,18608.237975,3901.55256898879,-1606163628032,21348.4889,5109.09213259239,-2378331848704,236.624851465225,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1857,18608.237975,3897.15880177624,-1630182244352,19975.21305,5109.57910248958,-2376064565248,242.979262828827,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1907,18508.700425,3892.66031703471,-1691220705280,19421.56935,5106.16646346653,-2459570536448,249.551871061325,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1957,18508.700425,3888.06271230144,-1770872832000,19975.21305,5098.23426244636,-2550784065536,255.829280853271,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2007,18508.700425,3881.66643603819,-1838393393152,19421.56935,5081.49587914427,-2690040725504,262.836008548737,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2057,18508.700425,3880.44553321755,-1903545614336,19782.09225,5060.30804142914,-2875177304064,269.427427768707,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2107,18508.700425,3877.27770401976,-1939310510080,19421.56935,5046.2150465615,-3002607599616,276.439122676849,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2157,18508.700425,3870.28074331042,-1977790234624,19421.56935,5048.31207330432,-3017497640960,282.898604631424,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2207,18508.700425,3862.66161613897,-2057077719040,20155.1142,5046.15898148059,-3060963475456,289.520858049393,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2209,18508.700425,3862.27926388206,-2061311868928,20155.1142,5045.9061058892,-3062933749760,293.685604810715,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2259,18389.0382,3859.62618828908,-2119057735680,19421.56935,5027.70432542279,-3203056009216,300.481729507446,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2309,18389.0382,3856.01087358658,-2177600651264,19421.56935,5023.19244108537,-3257984352256,307.950173377991,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2359,18389.0382,3852.31003998286,-2216643198976,19421.56935,5027.7419396928,-3234930098176,315.132513999939,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2409,18508.700425,3847.97504297795,-2250348036096,19421.56935,5028.24185337107,-3277831012352,321.623010635376,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2459,18508.700425,3843.47556248288,-2285684916224,19421.56935,5024.83646382842,-3332367450112,328.290360212326,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2509,18508.700425,3838.79551097074,-2350057914368,18813.6876,5016.86598422687,-3418894893056,335.037719726562,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2559,18508.700425,3832.4101526074,-2417644666880,19316.282,5000.26950642124,-3568809017344,341.891962766647,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2609,18508.700425,3831.20684258072,-2482501320704,18813.6876,4979.40843544716,-3758501658624,349.409925699234,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2659,18508.700425,3828.13361898927,-2518402203648,18813.6876,4965.59569046251,-3865016795136,356.193933486938,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2709,18508.700425,3821.27816368397,-2588499247104,18813.6876,4967.80140806198,-3874441920512,363.801636695862,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2759,18232.81975,3813.80542202063,-2678470868992,18217.0262,4965.77245629954,-3927009132544,370.549294233322,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2761,18232.81975,3813.42839412545,-2682699251712,18217.0262,4965.52405655326,-3928077369344,374.827353954315,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2811,18232.81975,3810.83660964518,-2740545912832,18217.0262,4947.4761981863,-4125709303808,381.882751941681,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2861,18389.0382,3807.32527717245,-2798834286592,19421.56935,4943.06322297244,-4169615015936,388.59296131134,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2911,18232.81975,3803.67880313938,-2837850882048,18217.0262,4947.62593361389,-4138741530624,395.992716312408,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
2961,18232.81975,3799.38035638878,-2871328636928,18217.0262,4948.16022964613,-4137933602816,402.857314348221,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3011,18444.002425,3794.87116603991,-2906864222208,18813.6876,4944.75633495142,-4235479482368,409.04599905014,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3061,18444.002425,3790.10173489963,-2949563154432,18217.0262,4936.71952681535,-4346862370816,415.949288606644,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3111,18444.002425,3783.71904538949,-3023864332288,16692.372,4920.22238653301,-4465868406784,422.803381681442,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3161,18444.002425,3782.54452003859,-3077980028928,17817.04915,4899.61263122716,-4683617796096,429.568374872208,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3211,18444.002425,3779.57732458283,-3124897251328,17817.04915,4886.05050089492,-4815257600000,436.874726772308,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
