subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total time,validation_relax
1,89560.0454176464,4085.60234419739,89963569152,140427.83135,5329.64537924281,-29570713600,2.52976942062378,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
51,85231.1984989419,4082.15925686054,57024268288,64367.1843,5308.5745909732,-178349932544,7.26779723167419,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
101,62757.2919348966,4077.92961628947,30030571520,51675.5943499999,5301.26182431066,-259912531968,11.4554998874664,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
151,57953.3494779991,4074.05125628628,5685832320,44918.7387,5302.86044954984,-282468777984,15.8815455436707,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
201,55868.8579271637,4069.54462376067,-20738981888,36556.4518999999,5302.21078997706,-286697652224,20.117178440094,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
251,54471.3994483561,4064.48114765587,-45907011584,28319.63945,5298.17020530767,-331419451392,24.6073634624481,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
301,45669.9246629413,4058.45604822104,-68240537600,25723.5725383228,5287.51393588502,-385846902784,29.4951229095459,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
351,49002.8669718433,4050.5755339734,-122148110336,24650.48925,5265.23114605908,-553150185472,34.4430689811707,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
401,39059.0290067201,4049.11821791809,-183439958016,24353.5065,5237.59359161203,-802136653824,40.1934032440186,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
451,38339.0906244678,4045.99441539442,-239301476352,24572.70225,5220.16854629869,-982777790464,45.3824248313904,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
501,43491.9082134956,4039.28657810277,-290324643840,24572.70225,5220.76039639357,-1077217853440,50.774626493454,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
551,41012.2127861728,4031.69360179706,-357181030400,25855.6466938193,5217.97231845838,-1166469103616,56.373771905899,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
553,41012.2127861729,4031.31017263187,-357894717440,25855.6517,5217.70759842082,-1169770283008,59.675882101059,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
603,39518.1205361729,4028.31020097535,-399866085376,25855.6517,5197.3730753941,-1338201735168,65.7132992744446,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
653,39860.4841607613,4024.5690729473,-450818195456,25855.6517,5190.99178645998,-1410156593152,71.5192391872406,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
703,39518.1205361729,4020.69473134849,-481367638016,25855.6517,5194.39528045348,-1428361445376,77.5346879959106,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
753,41012.2127861729,4016.02734213636,-512762789888,24814.6426499999,5194.50038099645,-1432367923200,83.4775903224945,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
803,43352.0440147443,4011.04309840761,-538115358720,22581.97375,5190.64566099416,-1436833415168,89.0810766220093,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
853,38357.5538994678,4005.56324682553,-578259615744,21571.6828,5181.32474985909,-1501479829504,95.2904419898987,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
903,41535.8215361729,3997.84320833396,-621487652864,21229.93115,5161.27462326417,-1631246483456,101.575247526169,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
953,38357.5538994678,3996.33125385663,-674831269888,20734.33955,5138.03510454224,-1790604476416,107.89282989502,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
