instance,optimal_value,model
0,8059889.280997798,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
1,8334502.953638765,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
2,7292741.678777562,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
3,7527930.735484364,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
4,8060058.694814884,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
5,6766217.144094382,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
6,8047389.114087233,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
7,9044363.807733387,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
8,8138371.707925595,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
9,7708528.875626454,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
10,7638356.093116739,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
11,6944058.586375673,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
12,7468819.703184413,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
13,8073175.9731819425,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
14,8960495.354503948,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
15,7803512.137049196,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
16,7026843.799085188,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
17,8100604.2933142735,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
18,8114283.246497548,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
19,7539638.779625807,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
20,8923788.963996911,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
21,10193679.245263007,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
22,6978657.365484803,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
23,7361234.384526293,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
24,7162938.775768955,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
25,6147718.295681005,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
