subepoch,Runtime,time,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,hyperparams,total_time,validation_relax
1,0.01800680160522461,2.3184030055999756,0.0,4030.433209534473,-126482808832.0,0.0,5283.43381519307,-421473943552.0,{'lr': 0.01},540.717182636261,True
51,3.787061929702759,46.93534970283508,0.0,3998.6257511679796,-630397534208.0,0.0,5075.204322498814,-2365328719872.0,{'lr': 0.01},540.717182636261,True
101,7.524960994720459,92.26227116584778,0.0,3967.200131315795,-1136657760256.0,0.0,5006.415128701033,-3217752326144.0,{'lr': 0.01},540.717182636261,True
151,11.767566919326782,138.53842043876648,0.0,3933.519209164359,-1454558216192.0,0.0,5014.469548682851,-3299582148608.0,{'lr': 0.01},540.717182636261,True
201,15.886000394821167,184.84998869895935,0.0,3887.991283370209,-2057592111104.0,0.0,5002.815066983901,-3601707827200.0,{'lr': 0.01},540.717182636261,True
251,20.243031978607178,231.74371218681335,0.0,3832.534569394582,-2710486777856.0,0.0,4959.299283534936,-4102146752512.0,{'lr': 0.01},540.717182636261,True
301,24.538034439086914,279.608003616333,0.0,3767.8909418077365,-3223212916736.0,0.0,4851.551663349095,-5025368113152.0,{'lr': 0.01},540.717182636261,True
351,28.974321842193604,326.8497567176819,0.0,3687.2943275724524,-4098595618816.0,0.0,4630.807420662334,-7256576884736.0,{'lr': 0.01},540.717182636261,True
401,33.56246638298035,373.6564600467682,0.0,3678.7307774409755,-4318883479552.0,0.0,4379.846141599802,-9981816471552.0,{'lr': 0.01},540.717182636261,True
451,37.92705011367798,420.30043029785156,0.0,3659.6508748056353,-4701704159232.0,0.0,4227.114988030267,-11603941523456.0,{'lr': 0.01},540.717182636261,True
501,42.31794261932373,467.50243878364563,0.0,3604.9236960655917,-5852181561344.0,0.0,4236.857406212768,-11777995702272.0,{'lr': 0.01},540.717182636261,True
551,46.610981464385986,514.3481044769287,0.0,3540.135283418266,-6830087995392.0,0.0,4219.824721339488,-12401794613248.0,{'lr': 0.01},540.717182636261,True
1,0.016051054000854492,2.5830273628234863,0.0,3981.603498446072,-438860742656.0,0.0,5316.055809224725,-90869145600.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
51,4.208360910415649,47.62872767448425,0.0,3946.9954186232526,-930503229440.0,0.0,5103.175451323265,-2295645077504.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
101,7.846595287322998,92.01991820335388,0.0,3907.4425207891254,-1446457638912.0,0.0,5027.462688583616,-3231338463232.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
151,11.897117614746094,137.45718121528625,0.0,3869.6023604104553,-1942170370048.0,0.0,5036.147780089834,-3138654044160.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
201,15.687329053878784,182.0829529762268,0.0,3823.058458298283,-2409411510272.0,0.0,5022.548248595251,-3237957599232.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
251,19.990640878677368,228.68761324882507,0.0,3768.2769282039276,-2931585974272.0,0.0,4979.405058334627,-3644052471808.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
301,24.124410152435303,274.71885561943054,0.0,3704.1682196812544,-3658719035392.0,0.0,4875.098986497988,-4565840166912.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
351,28.258195400238037,320.1381633281708,0.0,3626.001466449454,-4487703429120.0,0.0,4664.4319980293885,-6761538387968.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
401,32.814226150512695,367.19997096061707,0.0,3615.678950458794,-4739085631488.0,0.0,4421.648333129951,-9333259632640.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
451,37.17854976654053,413.3914020061493,0.0,3594.5337863475033,-5270856531968.0,0.0,4270.501421450919,-10943274680320.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
501,41.76731276512146,461.0005376338959,0.0,3539.4664730321424,-6237462462464.0,0.0,4280.357030006033,-11542659596288.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
551,46.083948850631714,507.4334707260132,0.0,3476.8853681934497,-6934284468224.0,0.0,4262.028346702094,-11724994379776.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",534.8003242015839,True
1,0.02901911735534668,2.7592434883117676,0.0,4037.296751413193,-9289448448.0,0.0,5316.1985236593955,-128974749696.0,{'lr': 0.01},542.3746967315674,True
51,3.7221567630767822,47.00476694107056,0.0,4007.9814528685542,-340620673024.0,0.0,5120.147793494509,-2016239288320.0,{'lr': 0.01},542.3746967315674,True
101,7.032562971115112,91.3235023021698,0.0,3976.5848793683917,-790015934464.0,0.0,5045.839437010354,-2661287985152.0,{'lr': 0.01},542.3746967315674,True
151,11.339593172073364,137.49398851394653,0.0,3942.4792014721197,-1291558191104.0,0.0,5054.369902786832,-2672432250880.0,{'lr': 0.01},542.3746967315674,True
201,15.554685115814209,184.39815044403076,0.0,3897.5943702313893,-1874010505216.0,0.0,5044.365980323308,-2909569548288.0,{'lr': 0.01},542.3746967315674,True
251,19.969467878341675,231.57321047782898,0.0,3842.9473703224094,-2294252175360.0,0.0,5002.406986805241,-3393656455168.0,{'lr': 0.01},542.3746967315674,True
301,24.239643573760986,277.95299768447876,0.0,3781.0764463468695,-2963893387264.0,0.0,4899.428240037577,-4251147304960.0,{'lr': 0.01},542.3746967315674,True
351,28.33215832710266,323.2513768672943,0.0,3703.3456425399145,-3810633973760.0,0.0,4685.879041342494,-6389824487424.0,{'lr': 0.01},542.3746967315674,True
401,32.9953351020813,370.8359405994415,0.0,3695.2885697889024,-4113342791680.0,0.0,4438.377387708063,-9121733541888.0,{'lr': 0.01},542.3746967315674,True
451,37.50527024269104,417.843688249588,0.0,3676.757771323292,-4439118446592.0,0.0,4285.8800684294865,-10737043898368.0,{'lr': 0.01},542.3746967315674,True
501,42.13729763031006,466.14295077323914,0.0,3625.234297460158,-5043248955392.0,0.0,4293.671817982151,-11030076850176.0,{'lr': 0.01},542.3746967315674,True
551,46.771557331085205,514.40722489357,0.0,3562.006296450081,-6302021713920.0,0.0,4275.811030296655,-11309674397696.0,{'lr': 0.01},542.3746967315674,True
1,0.030347824096679688,2.676795244216919,0.0,4015.2933068098127,-152426762240.0,0.0,5276.084683455522,-485882265600.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
51,3.7887468338012695,47.35409379005432,0.0,3986.1509525348033,-671288885248.0,0.0,5076.944178535696,-2417198104576.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
101,7.657722234725952,93.06428170204163,0.0,3955.6113477466342,-1003026939904.0,0.0,5007.439035135175,-3032137596928.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
151,12.041839599609375,138.85812711715698,0.0,3920.7077195336656,-1493716697088.0,0.0,5019.603310487153,-3050126966784.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
201,16.32880926132202,185.65388441085815,0.0,3875.445971165517,-2112769490944.0,0.0,5012.910308996297,-3353308037120.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
251,20.918248653411865,233.065682888031,0.0,3819.2390956181707,-2646365437952.0,0.0,4971.818760919542,-3751777140736.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
301,25.286715507507324,279.8017029762268,0.0,3756.3931360704028,-3266703261696.0,0.0,4869.0484774755,-4691062161408.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
351,29.94019651412964,327.70548605918884,0.0,3677.926402268951,-4203454791680.0,0.0,4653.805956364565,-6702719041536.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
401,34.492292404174805,375.04413652420044,0.0,3669.5826058485036,-4573681942528.0,0.0,4407.097371045916,-9318583762944.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
451,38.99981880187988,422.0959360599518,0.0,3651.5390499390346,-4843643076608.0,0.0,4258.1029596000735,-11098127335424.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
501,43.705689430236816,470.1596553325653,0.0,3599.124265980095,-5632244580352.0,0.0,4267.353061455873,-11286084583424.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
551,47.99938416481018,516.5294404029846,0.0,3535.027031010772,-6431957843968.0,0.0,4250.428690316648,-11677787488256.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",544.6107521057129,True
1,0.0352330207824707,2.766883373260498,0.0,4007.455871428019,-216959492096.0,0.0,5264.596479589439,-563479379968.0,{'lr': 0.01},552.2017865180969,True
51,4.298665523529053,49.49886918067932,0.0,3976.8013492597847,-652622036992.0,0.0,5066.829996387021,-2552828526592.0,{'lr': 0.01},552.2017865180969,True
101,8.373035907745361,96.16735553741455,0.0,3943.904249776486,-1172588462080.0,0.0,4996.345597826273,-3285094236160.0,{'lr': 0.01},552.2017865180969,True
151,12.619709730148315,142.86174726486206,0.0,3910.8213847077996,-1590500392960.0,0.0,5003.905539716831,-3310449590272.0,{'lr': 0.01},552.2017865180969,True
201,16.84468674659729,189.9850025177002,0.0,3867.7065117127418,-2131691503616.0,0.0,4990.611919838979,-3517252370432.0,{'lr': 0.01},552.2017865180969,True
251,21.328224420547485,237.14528560638428,0.0,3815.1474080461467,-2482027364352.0,0.0,4948.5944224737905,-3904215973888.0,{'lr': 0.01},552.2017865180969,True
301,25.64488649368286,284.2516713142395,0.0,3752.890589193994,-3190702473216.0,0.0,4847.154219817737,-4841452601344.0,{'lr': 0.01},552.2017865180969,True
351,30.190394639968872,331.503395318985,0.0,3675.592271679262,-3987482345472.0,0.0,4641.491575295285,-6947756048384.0,{'lr': 0.01},552.2017865180969,True
401,35.04771280288696,379.8501889705658,0.0,3665.5683218586646,-4366253162496.0,0.0,4401.982030461047,-9624051777536.0,{'lr': 0.01},552.2017865180969,True
451,39.82772636413574,427.92026138305664,0.0,3645.381963840937,-4732577382400.0,0.0,4251.786454882177,-11345300815872.0,{'lr': 0.01},552.2017865180969,True
501,44.582377195358276,475.67049860954285,0.0,3591.3613321881444,-5638431440896.0,0.0,4260.45881344453,-11419836743680.0,{'lr': 0.01},552.2017865180969,True
551,49.27074837684631,524.289787530899,0.0,3528.839291786599,-6501618155520.0,0.0,4242.090846177795,-11902147100672.0,{'lr': 0.01},552.2017865180969,True
1,0.015260934829711914,2.713165521621704,0.0,4022.0188417808404,-151095353344.0,0.0,5357.52169084344,42987790336.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
51,3.905256986618042,46.81326699256897,0.0,3988.718317568561,-725660434432.0,0.0,5134.19173334237,-1905708236800.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
101,8.216506481170654,91.71281933784485,0.0,3944.8370627706367,-1355435999232.0,0.0,5058.061247133059,-2866948866048.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
151,12.129086256027222,134.208829164505,0.0,3903.1973480350857,-1825693040640.0,0.0,5075.271175127897,-2722920923136.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
201,16.427104234695435,179.84490036964417,0.0,3856.253741711525,-2265210683392.0,0.0,5067.282998655649,-2941210329088.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
251,20.877567529678345,225.47587156295776,0.0,3801.6490997366736,-2971162509312.0,0.0,5024.9941470087915,-3370987552768.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
301,25.124536275863647,270.3175370693207,0.0,3741.7639301944887,-3478216769536.0,0.0,4922.815081214781,-4393114271744.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
