validation_loss,test_loss,validation_regret_full,test_regret_full,subepoch,time,training_relaxation,validation_relaxation,hyperparams,total_time
4384.6572265625,5169.81689453125,33059.0555441759,18585.4418744468,50,1768.62709927559,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4589.58349609375,5184.42236328125,33314.4475265788,16901.8784523017,100,1972.22416448593,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4687.00634765625,5204.51318359375,25993.9339787342,15386.1578566169,150,2209.08664894104,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4698.70751953125,5195.30224609375,28187.6408537342,15386.1578566169,200,2425.11133909225,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4752.9580078125,5188.34912109375,32380.2549225235,15558.7807820328,250,2643.12672019005,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4808.2958984375,5209.857421875,28187.6408537342,15151.1836144542,300,2892.73029994965,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4841.794921875,5238.1845703125,23036.3359899912,14425.6928784945,350,3177.19579529762,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4891.17138671875,5260.953125,23036.335987444,14425.6928784945,400,3415.1410806179,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4925.49658203125,5261.26318359375,24977.1427686408,14860.4055454251,450,3618.65477561951,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4939.63525390625,5266.43798828125,24977.1427686408,14425.6928784945,500,3857.06667900085,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4986.3701171875,5289.7939453125,23036.335987444,14402.5595205864,550,4081.87168240547,FALSE,FALSE,{'lr': 1e-05},53844.324908495
5001.45166015625,5298.11083984375,23036.335987444,14425.6928784945,602,4348.13416028023,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4997.408203125,5305.85888671875,21988.0278478339,14900.6482676985,652,4608.31814980507,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4999.29248046875,5302.8857421875,21988.0278478339,14425.6928784945,702,4836.54320788383,FALSE,FALSE,{'lr': 1e-05},53844.324908495
5016.1064453125,5321.048828125,24226.2988362315,14240.3980654238,752,5159.66210341454,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4987.48876953125,5308.11767578125,24566.1928341486,14240.3980654238,802,5381.29506254196,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4976.99169921875,5300.80908203125,22249.5564249994,14292.525345955,852,5605.965041399,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4946.61767578125,5276.84033203125,23559.5562346508,14292.525345955,902,5833.60635519028,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4988.2197265625,5287.12255859375,23011.3176205063,15265.7927781022,952,6056.16605567932,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4997.455078125,5297.689453125,21988.0278478339,14953.7801121809,1002,6307.71920752525,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4984.91943359375,5291.90625,23559.5562356091,14425.6928784945,1052,6562.63129639626,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4958.20361328125,5281.935546875,24285.3818010807,13521.0283802128,1102,6830.53737592697,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4972.36083984375,5287.8369140625,24285.3818010807,14240.3980654238,1154,7042.65378832817,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4972.12744140625,5280.4501953125,23088.1430319787,14425.6928784945,1204,7279.81107020378,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4945.73193359375,5262.65966796875,23186.4334186554,14953.7801121809,1254,7508.6624174118,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4964.85791015625,5272.39208984375,25016.9903269769,14953.7801121809,1304,7736.59952664375,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4960.99658203125,5285.68994140625,24362.2068956972,14240.3975099451,1354,7995.44896888733,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4963.30419921875,5289.7236328125,23564.1513758183,14292.525345955,1404,8261.40570545197,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4914.3837890625,5262.7900390625,22838.3258103468,14292.525345955,1454,8516.83745527268,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4879.21630859375,5240.72607421875,24362.2072125531,14292.525345955,1504,8744.13702988625,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4892.556640625,5249.94677734375,22838.3258103468,14292.525345955,1554,8993.76363492012,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4952.650390625,5288.2744140625,22838.3258103468,14240.3980654238,1604,9241.18627882004,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4966.52978515625,5293.87451171875,22838.3258103468,14240.3980654238,1654,9565.87525057793,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4959.16943359375,5286.95458984375,22249.5564249994,14240.3980654238,1706,9841.55670714378,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4978.46533203125,5304.28515625,22249.5564249994,13521.0283802128,1756,10089.7236738205,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4972.02099609375,5300.94140625,22249.5564249994,13521.0276365378,1806,10312.9820320606,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4903.79443359375,5250.361328125,24362.2072125531,14292.5241057435,1856,10562.8890216351,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4897.58642578125,5234.56103515625,25016.9903269769,15325.323659115,1906,10825.591511488,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4954.98046875,5268.1640625,25500.3630168058,14425.6928784945,1956,11064.4054768085,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4955.3388671875,5276.0859375,24362.2072125531,14292.525345955,2006,11302.0964057446,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4971.52392578125,5289.83984375,22838.3258103468,14292.525345955,2056,11538.2236208916,FALSE,FALSE,{'lr': 1e-05},53844.324908495
5023.5771484375,5336.00341796875,22249.5564249994,14240.3980654238,2106,11787.6280846596,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4930.1796875,5281.8818359375,22249.5564249994,14240.3980654238,2156,12043.5505948067,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4916.94287109375,5267.81201171875,22249.5564249994,14425.6928784945,2206,12299.2905676365,FALSE,FALSE,{'lr': 1e-05},53844.324908495
